principles	<u><b>principles</b></u>:princípios.		"01.  <font color=""#00aaff""><u>(often plural)</font></u> a set of such moral rules."		(3)princípios	(34205)princípios	princípios								law, standard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-principles.mp3]					(ˈprɪn sə pəl)	ˈprɪnsəplz,ˈprɪnsɪp(ə)l	ˈprɪn sə pəl																						
kin	<u><b>kin</b></u>:família,parente,parentesco.	1. the people in your family.			(3)parentes,(3)parentesco,(3)parente,(3)família	(707)parente	·parente	parentes,·parente	família						blood relative																													[sound:7001-8000/howjsay/7001-8000-howjsay-kin.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-kin.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-kin.mp3]					kɪn	kɪn					"<span class=""ipa dipa"">kɪn</span>"																	
jasmine	<u><b>jasmine</b></u>:jasmim.	1. a climbing plant. One type has white sweet-smelling flowers in summer and another type has yellow flowers in winter.			(3)jasmim	(565)jasmim	jasmim	jasmim	jasmim																																																		[sound:7001-8000/howjsay/7001-8000-howjsay-jasmine.mp3]		[sound:7001-8000/cambridge/7001-8000-cambridge-usjacka019.mp3]					ˈʤæzmɪn								
fuse	<u><b>fuse</b></u>:pavio,rastilho,estopim,espoleta,fusível. <u><b>fuse</b></u>:fusível. <u><b>to fuse</b></u>:fundir.	1. a small object that stops electrical equipment from working if there is too much electricity going through it. <BR>2. If a piece of electrical equipment fuses, or if you fuse it, it stops working because there is too much electricity going through it.			(3)fusível,(3)fundir	(780)fusível	fusível,fundir	fusível	fusível,queimar						meld, intermix																													[sound:7001-8000/howjsay/7001-8000-howjsay-fuse.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-fuse.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-fuse.mp3]					fjuːz	fyuz					"<span class=""ipa dipa"">fjuz</span>"																	
funky	<u><b>funky</b></u>:original,autêntico,na moda,vibrante.	1. used to describe a style of music, usually for dancing to, with a strong rhythm based on jazz and a tune that repeats. <BR>2. fashionable in an unusual and noticeable way.			(1)covarde,(1)medroso				funky,estiloso,original						offbeat																													[sound:7001-8000/howjsay/7001-8000-howjsay-funky.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-funky.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-funky.mp3]					ˈfʌŋkɪ	ˈfʌŋ ki																						
frat	<u><b>frat</b></u>:fraternidade	1. informal for fraternity (= a social organization for male university students in the US and Canada).			fraternidade	(172)fraternidade	fraternidade		associação de estudantes						brotherhood																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-frat.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-frat_fraternity.mp3]				(frəˈtɜr nɪ ti)	fræt	fræt					"<span class=""ipa dipa"">fræt</span>"																	
curfew	<u><b>curfew</b></u>:toque de recolher	1. a rule that everyone must stay at home between particular times, usually at night, especially during a war or a period of political trouble. <BR>2. a time by which a child must be home in the evening.			(3)toque de recolher,regredir	(517)toque de recolher		,toque de recolher	toque de recolher	<b>curfew</b>  toque de recolher					late hour																													[sound:7001-8000/howjsay/7001-8000-howjsay-curfew.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-curfew.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-curfew.mp3]				(ˈkɜr fyu)	ˈkɜːfjuː	ˈkɜr fyu					"<span class=""ipa dipa"">ˈkɝː-</span>"																	
craft	<u><b>craft</b></u>:arte,ofício. <u><b>to craft</b></u>:fazer manualmente.	1. an activity in which you make something using a lot of skill, especially with your hands. <BR>2. a boat.			(3)ofício,construir	(794)ofício,(749)embarcação,(970)artesanato,(509)nave	ofício,embarcação,artesanato	ofício,artesanato	artesanato,barco,embarcação	<b>craft</b> barco <b>3.</b> manha					expertise, skill,deceit, scheme,business, discipline,water or air vehicle																													[sound:7001-8000/howjsay/7001-8000-howjsay-craft.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-craft.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-craft.mp3]				(kræft, krɑft)	krɑːft	kræft, krɑft					"<span class=""ipa dipa"">kræft</span>"																	
chow	<u><b>chow</b></u>:comida,rango,bóia.	1. food.			comida,(1)chinês		comida		comida						food																													[sound:7001-8000/howjsay/7001-8000-howjsay-chow.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-chow.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-chow.mp3]					ʧaʊ	tʃaʊ					"<span class=""ipa dipa"">tʃaʊ</span>"																	
blackmailed					chantageado	(256)chantageado	·chantageado	,·chantageado							intimidation for money; money to quiet informer,intimidating for money																													[sound:7001-8000/howjsay/7001-8000-howjsay-blackmailed.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-blackmailed.mp3]						ˈblækmeɪl	ˈblækˌmeɪl																						
alleged	<u><b>alleged</b></u>:pretenso. <u><b>alleged</b></u>:suposto.	1. said or thought by some people to be the stated bad or illegal thing, although you have no proof.			(3)alegado	(1194)suposto,(2222)alegado	·suposto,alegado	·suposto,alegado	suposto,supostamente						asserted, often doubtful								"<b>""There is no proof of the <font color=""#ff0000"">alleged</font> benefits of this new drug.""</b><br><i>""Não há prova dos <u>supostos</u> benefícios deste novo medicamento.""</i> <i><u><font color=""#aa4444"">suposto</font></u></i> <br><br><b>""Tests have proven the <font color=""#ff0000"">alleged</font> benefits of the new drug.""</b><br><i>""Os testes confirmaram os <u>pretensos</u> benefícios do novo remédio.""</i> <i><u><font color=""#aa4444"">pretenso</font></u></i> <br>"		"01. <font color=""#c7c7c7""><i>said or thought by some people to be the stated bad or illegal thing, although you have no proof: </i></font><BR><font color=""#c7c7c7""><i>dito ou pensado por algumas pessoas para ser a coisa declarada ruim ou ilegal, embora você não tem nenhuma prova: </i></font><BR><b>""It took 15 years for the <font color=""#ff0000"">alleged</font> criminals (= people thought to be criminals) to prove their innocence. ""</b><BR><i>""Foram precisos 15 anos para que os supostos criminosos (=pessoas consideradas criminosas) provassem a sua inocência. ""</i><BR>"																	"<b>""<font color=""#ff0000"">alleged</font> breach.""</b><br><i>""alegada infracção.""</i> <br><br><b>""<font color=""#ff0000"">alleged</font> infringement.""</b><br><i>""alegada violação.""</i> <br><br><b>""<font color=""#ff0000"">alleged</font> violation.""</b><br><i>""alegada violação.""</i> <br><br><b>""<font color=""#ff0000"">alleged</font> crimes.""</b><br><i>""alegados crimes.""</i> <br><br><b>""<font color=""#ff0000"">alleged</font> injury.""</b><br><i>""alegado dano.""</i> <br><br><b>""<font color=""#ff0000"">alleged</font> increase.""</b><br><i>""suposto aumento.""</i> <br>"		[sound:7001-8000/howjsay/7001-8000-howjsay-alleged.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-alleged.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-alleged.mp3]				(əˈlɛdʒd, əˈlɛdʒ ɪd)	əˈleʤd,əˈleʤ	əˈlɛdʒd, əˈlɛdʒ ɪd																						
watcher	<u><b>watcher</b></u>:observador.	1. a person who watches television or films.			(3)observador	(119)observador	observador		telespectador,-ora,frequentador,-ora de cinema	<b>watcher</b>  vigia					lookout,observer																													[sound:7001-8000/howjsay/7001-8000-howjsay-watcher.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-watcher.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-uswashr016.mp3]				(ˈwɒtʃ ər)	ˈwɒʧə	ˈwɒtʃ ər					"<span class=""ipa dipa"">ˈwɑː.tʃɚ</span>"																	
turtle	<u><b>turtle</b></u>:tartaruga.	1. an animal with four legs and a hard shell that lives mainly in water.			(3)tartaruga	(1955)tartaruga	tartaruga	tartaruga marinha,tartaruga	tartaruga marinha						reptile																													[sound:7001-8000/howjsay/7001-8000-howjsay-turtle.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-turtle.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-turtle.mp3]					tɜːtl	ˈtɜr tl					"<span class=""ipa dipa"">ˈtɜr·t̬<span class=""sp dsp"">ə</span>l</span>"																	
starve	<u><b>to starve</b></u>:morrer de fome,estar faminto,ter fome de.	1. to become sick or die because you do not have enough food.			(3)morrer de fome,(3)passar fome	(232)morrer de fome,(183)passar fome,(114)morrer à fome		,morrer de fome	morrer de fome,passar fome,fome,inanição						hold back from doing,lack, need,abstain from food,go without food																													[sound:7001-8000/howjsay/7001-8000-howjsay-starve.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-starve.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-starve.mp3]					stɑːv	stɑrv					"<span class=""ipa dipa"">stɑrv</span>"																	
sleigh	<u><b>sleigh</b></u>:trenó. <u><b>to sleigh</b></u>:andar de trenó.	1. a type of sledge pulled by animals, especially horses or dogs.			(3)trenó	(484)trenó	trenó	trenó	trenó						sled																													[sound:7001-8000/howjsay/7001-8000-howjsay-sleigh.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-sleigh.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-slay.mp3]					sleɪ	sleɪ																						
rebound	<u><b>rebound</b></u>:repercussão,rebote,ricochete. <u><b>to rebound</b></u>:reverberar,repercutir,ricochetear.	1. to bounce back after hitting a hard surface. <BR>2. If an action rebounds on you, it does not have the effect you hoped for but has an unpleasant effect on you instead. <BR>3. to rise in price after a fall. <BR>4. the act of rebounding.			rebote,(3)repercussão,(3)ricochete	(113)recuperação,(129)rebote	ressalto,repercussão,·ricochete,rebote,·retomada,recuperação	·ricochete,recuperação,·retomada	quicar,ressaltar,voltar-se,recuperar-se,rebote,ressalto	<b>rebound</b>  ressaltar <b>on the rebound</b> rebote					bounce back; ricochet																													[sound:7001-8000/howjsay/7001-8000-howjsay-rebound.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-rebound.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus73861.mp3],[sound:cambridge-rebound.mp3]				(v.  rɪˈbaʊnd, ˈriˈbaʊnd; n.  ˈriˌbaʊnd, rɪˈbaʊnd)	rɪˈbaʊnd	"<span class=""luna-pos"">verb</span> rɪˈbaʊnd, ˈriˈbaʊnd; <span class=""luna-pos"">noun</span> ˈriˌbaʊnd, rɪˈbaʊnd"																						
rebel	<u><b>rebel</b></u>:rebelde. <u><b>rebel</b></u>:rebelde,refratário. <u><b>to rebel</b></u>:rebelar,rebelar-se,insurgir,amotinar,amotinar-se,insurgir-se.	1. someone who does not accept authority and refuses to obey rules.	"01.  <font color=""#00aaff""><u>(usu. cap.)</font></u> a Confederate soldier.<BR>07.  To show repugnance <font color=""#00aaff""><u>(towards)</font></u>."		(3)rebelde,(3)rebelar	(2230)rebelde	rebelde,rebelar	rebelde	rebelde	<b>rebel</b>  <b>1.</b>   rebelde <b>2.</b>  rebelde					not obeying,person who does not obey,refuse to obey																																												[sound:7001-8000/howjsay/7001-8000-howjsay-rebel.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-rebel.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-rebel.mp3]				(n., adj.  ˈrɛb əl; v.  rɪˈbɛl)	rebl	"<span class=""luna-pos"">noun,</span> <span class=""luna-pos"">adjective</span> ˈrɛb əl; <span class=""luna-pos"">verb</span> rɪˈbɛl"					"<span class=""ipa dipa"">ˈreb·əl</span>"		
pinned			"01.  <font color=""#00aaff""><u>(Jewellery)</font></u> an ornamental brooch, esp a narrow one."		fixado	(206)preso				<b>pinned</b> <b>1.</b> pregar <b>2.</b> pregar					attach, hold in place																													[sound:7001-8000/howjsay/7001-8000-howjsay-pinned.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-pinned.mp3]					(pɪn)	pɪnd,pɪn	pɪn																						
parlor	<u><b>parlor</b></u>:sala de estar,salão,saleta,sala de visitas.				(3)salão,(3)sala de estar	(161)salão	salão,·ordenha	,salão,·ordenha							sitting room																													[sound:7001-8000/howjsay/7001-8000-howjsay-parlor.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-parlor.mp3]						ˈpɑːlə	ˈpɑr lər																						
outfits					roupas	(751)roupas									set of clothes or equipment,large group; business,clothe, equip																													[sound:7001-8000/howjsay/7001-8000-howjsay-outfits.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-outfits.mp3]						ˈaʊtfɪt	ˈaʊtˌfɪt																						
issued	<u><b>issued</b></u>:emitido.				(3)emitir,emitido	(6141)emitido	emitir	,emitido							circulated																													[sound:7001-8000/howjsay/7001-8000-howjsay-issued.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-issued.mp3]						ˈɪsjuːd,ˈɪʃuː,ˈɪʃuːz	"ˈɪʃ u <span class=""luna-label italic"">or, especially British</span>, ˈɪs yu"																						
hoops	<u><b>hoops</b></u>:basquete,basquetebol.				(3)argola,aros,(3)arco,(3)aro	(163)aros	argola,aro								ring,basketball goal																													[sound:7001-8000/howjsay/7001-8000-howjsay-hoops.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-hoops.mp3]						huːp	hup, hʊp																						
heartache	<u><b>heartache</b></u>:saudade,mágoa	1. extreme sadness.			(3)mágoa	(60)sofrimento,(35)dor de cabeça,(52)mágoa,(23)desgosto	sofrimento,mágoa	sofrimento	tristeza profunda	<b>heartache</b> &nbsp;pesar&nbsp;					anguish, sorrow																													[sound:7001-8000/howjsay/7001-8000-howjsay-heartache.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-heartache.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus72177.mp3]				(ˈhɑrtˌeɪk)	ˈhɑːteɪk	ˈhɑrtˌeɪk					"<span class=""ipa dipa"">ˈhɑrtˌeɪk</span>"																	
haired					(2)peludo,(2)cabeludo	(21)cabelo																																						[sound:7001-8000/howjsay/7001-8000-howjsay-haired.mp3]						(hɛərd)	ˈheəd																							
fundraiser	<u><b>fundraiser</b></u>:arrecadação de fundos.	1. a person or event involved in collecting money for a particular purpose, especially a charity.			arrecadação de fundos	(229)angariação de fundos			evento para arrecadação de fundos						pledge drive																													[sound:7001-8000/howjsay/7001-8000-howjsay-fundraiser.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-fundraiser.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-uscld00548.mp3]					ˈfʌndreɪzər	ˈfʌndˌreɪ zər					"<span class=""ipa dipa"">-zɚ</span>"																	
dynamite	<u><b>dynamite</b></u>:dinamite. <u><b>to dynamite</b></u>:dinamitar	1. a type of explosive.			(3)dinamitar,(3)dinamite	(1326)dinamite	dinamitar	dinamite	dinamite						explosive																																												[sound:7001-8000/howjsay/7001-8000-howjsay-dynamite.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-dynamite.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-dynamite.mp3]					ˈdaɪnəmaɪt	ˈdaɪ nəˌmaɪt					"<span class=""ipa dipa"">ˈdɑɪ·nəˌmɑɪt</span>"		
doorman	<u><b>doorman</b></u>:porteiro	1. a person whose job is to stand by the door of a hotel or public building and allow people to go in or out, and to open their car doors, etc.			(3)porteiro	(786)porteiro	porteiro	porteiro	porteiro,-a						guard for entrance																													[sound:7001-8000/howjsay/7001-8000-howjsay-doorman.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-doorman.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-doorman.mp3]					ˈdɔːmən	ˈdɔrˌmæn, -mən, ˈdoʊr-					"<span class=""ipa dipa"">ˈdɔːr-</span>"																	
discreet	<u><b>discreet</b></u>:discreto,discreta,circunspecto.	1. careful not to cause embarrassment or attract too much attention, especially by keeping something secret.			(3)discreto	(1678)discreto	discreto	discreto	discreto						cautious, sensible																													[sound:7001-8000/howjsay/7001-8000-howjsay-discreet.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-discreet.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-discreet.mp3]					dɪsˈkriːt	dɪˈskrit																						
cracks	<u><b>cracks</b></u>:rachaduras.				rachaduras	(304)fissuras,(514)rachaduras,(306)fendas	rachaduras,fissuras								super, first-rate,break, crevice,loud sound, usually from hitting,attempt to do something,joke, usually into parts,lose self-control,hit very hard,discover meaning, answer																													[sound:7001-8000/howjsay/7001-8000-howjsay-cracks.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-cracks.mp3]						kræk	kræk																						
cracker	<u><b>cracker</b></u>:pirata eletrônico,busca-pé,homem branco e pobre do sul dos Estados Unidos,bolacha,biscoito,pacote de bombom cujas extremidades são puxadas e pulam de dentro balas e doces,caipira. <u><b>cracker</b></u>:muito bom.	1. a dry biscuit that is usually salty. <BR>2. a coloured paper tube, often with a small toy inside, that people pull open at Christmas.			(3)biscoito	(126)bolacha,(87)biscoito	bolacha,biscoito	biscoito	bolacha de água e sal,tubo colorido de papel com um pequeno presente de Natal dentro,que se estala ao se abrir						hard, often salted, baked wafer																													[sound:7001-8000/howjsay/7001-8000-howjsay-cracker.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-cracker.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-cracker.mp3]					ˈkrækə	ˈkræk ər					"<span class=""ipa dipa"">ˈkræk·ər</span>"																	
